epochs,test_kl_losses,test_losses,test_recon_latent_losses,test_recon_losses,train_kl_losses,train_losses,train_recon_latent_losses,train_recon_losses
45,21.99295291385135,86.74590445853569,0.054856644288913625,26.303005991755306,24.091223852263223,93.27063912259125,0.04333046772356691,32.089051120084406
46,22.387896460455817,83.11257047910948,0.0477543471230043,24.010473766842402,23.908909109900197,92.41621757741176,0.042731243617461556,31.77902634124729
47,22.809451696035023,84.75871462435336,0.05512285182202185,22.602955895501214,23.764529169913743,91.65252958860434,0.04225406443079961,31.447251928429786
48,22.044882233078415,81.78770879797034,0.04910477311224551,22.966512319203968,23.604573477190655,90.79816022346095,0.041583744936030016,31.11388983190039
49,21.82700358210383,82.84340337804846,0.051244990849817124,23.81589956541319,23.428627477212054,90.08821364721327,0.041118427018207754,30.895430607564855
50,21.986611959096546,77.81911674705711,0.03893187893806277,22.166328791025524,23.30774781347691,89.339928934276,0.04052001014608113,30.568430219781145
51,21.087285634633655,83.86218715358424,0.059264523254053014,23.908259520659577,23.170124429811047,88.83406435276564,0.04044919862817079,30.35905585825464
52,20.970755963712126,79.58100994213207,0.048634039187753525,23.049286404171504,23.076570934387334,88.21953635247316,0.04000468617185136,30.064988669598407
53,21.862641927358265,81.23808350434174,0.05213352020930599,21.87274200851853,23.02796276551595,88.47021116258706,0.041379516361036685,30.000430710678607
54,20.098659618480784,81.39170672442462,0.05653570481651538,24.233675312351536,22.963077195053607,87.55391690590704,0.04028547837638021,29.542119002267484
55,21.935288918984902,77.17782386573586,0.044661839970865765,19.90869326204867,22.809660516105765,86.74993738634834,0.03949010817775875,29.28358389084782
56,21.0477038203059,79.08163204708615,0.050024826784391664,21.978776416263067,22.663633089786373,86.06554371452796,0.03877906291137372,29.10455868278219
57,20.095308613132786,78.45405640473237,0.05260724181661735,22.481267568227405,22.570521757437433,85.55505632116835,0.03840836509802706,28.891503311955777
58,20.411270347801416,72.01803032127586,0.03503698362289248,20.684393444576777,22.470510057105873,84.99111291599041,0.037850853221316455,28.694836826616775
59,21.400190508043444,73.52192419928474,0.03590673832474528,19.94952139983306,22.391146224203613,84.55657462183501,0.037656886105236535,28.477216320808488
60,20.942757735381257,73.47656167520059,0.03627866285072791,20.707447258201807,22.347454570469978,84.28784527474686,0.03769292779450439,28.285057808122996
61,21.58219842653017,79.49604962323163,0.05959175577437555,18.454125945632523,22.235855912049445,83.57874308858172,0.03688341800937022,28.042005862811017
62,19.682568421234954,84.220637553447,0.055783941939070415,28.120318644755596,24.218493611419795,101.3041369027271,0.04961980902581748,37.98120697198201
63,18.847949517739785,78.9169688869167,0.050989167211023534,25.924320994196712,23.228628066556873,89.86697999096548,0.043535706535882235,30.34901189488511
64,21.05627843495962,76.80232939849029,0.0475600778653815,20.42174937274005,22.845631911836822,87.36895428082536,0.04148242544955034,29.23296273240475
65,20.387312554024362,74.4885451858108,0.04276066253314147,20.8857222376643,22.634352912723458,85.88590384908188,0.039775344377071524,28.68459475111023
66,23.16102631027634,91.84315305142789,0.06967449470146282,24.618752711528057,22.462479254876392,84.6909500495435,0.038665297543529445,28.16640227748641
67,20.283418242995804,78.24790748389992,0.05288111861493137,21.816734829464473,22.360283519282486,84.01629002423952,0.03808428785847698,27.870436619400188
68,20.00369221455342,74.51172452359586,0.0487694076791003,19.873518814911712,22.281662847305665,83.37943201453709,0.03752813528826151,27.557665788184803
69,19.805192792737806,72.68081314499314,0.04117439435543241,20.718110677358265,22.159809758296955,82.7524796136785,0.03703576977485067,27.3221291680238
70,19.27070597055796,68.79116883149018,0.0301635700303155,21.200685707298486,22.13494502954141,82.96657801089657,0.037969287660054654,27.30590161493289
71,20.344500412812103,72.45230576798723,0.04267839281945615,18.95978597692541,22.091635240656455,82.41193019118886,0.03700652918027398,27.126700935111316
72,19.964187725170238,70.66308490650074,0.03912479651940835,18.99727037790659,22.01828901346699,81.86974254064717,0.03634320031617969,26.930204407091715
73,19.94004094922865,69.28783251788165,0.03338254102178522,19.392989390605205,21.959691630801604,81.49411312689229,0.03599635175212268,26.775824379065607
74,19.8932445629223,71.80637916358742,0.038784731179475784,20.384471171611064,21.94952873650514,81.56562751629177,0.03632783647191956,26.76821913764021
75,19.889499612756676,77.58119263520112,0.06414335462692622,18.559186316825247,21.926314148824833,81.15106026846455,0.03570219661728409,26.587772963479686
76,19.702276178308434,77.0050566389754,0.06228791600143587,18.914130339751374,21.88903212406128,80.96431027036725,0.03563185298224332,26.496690143902764
77,19.487023894851273,70.54259552826753,0.04216664777816953,18.91855425448031,21.814576642266637,80.42961141864666,0.0348979045297316,26.331086780916145
78,19.66197885049356,71.83825807313661,0.04589054199892122,18.74713706970215,21.786813490650704,80.43949064150458,0.03498113333471106,26.371523641369063
79,19.126709757624447,69.31768798828125,0.03776363978112066,19.73517670502534,21.758916764506807,80.02679991580932,0.03468007218022612,26.104944682710887
80,19.724905993487383,74.44489226470122,0.05493109471894599,18.515751864459062,21.718394441581363,79.65296934440717,0.034125330129191306,25.978581413912135
81,19.49208316287479,69.0690922092747,0.037087798622008915,18.95858620308541,21.683180327865564,79.67777214794364,0.034501055597276724,25.961094727212235
82,20.03209603799356,68.17491912841797,0.03258137012252937,18.33631536122915,21.657254530967464,79.24671270223662,0.03389350981774339,25.764150657873046
83,18.39960108576594,75.31884311985326,0.05478907436937899,22.082918476414036,21.64546418264742,79.51813262997916,0.03456396139033842,25.858015828081143
84,19.90785500809953,80.33427016799514,0.0694140272366034,19.694351144739098,21.631574022358862,79.2432092788202,0.034320088619679646,25.68403462440201
85,18.692561587771856,68.55038926408098,0.03816145285964012,19.716828887527054,21.602136778856394,78.90165285996052,0.03378338985309233,25.56236235765745
86,19.563482542295713,69.47304081272435,0.04147919488919748,17.902316737819362,21.542632125388117,78.88899286895295,0.03361847314974523,25.718186713311365
87,19.87839054416966,73.62169915276604,0.04364149926884754,20.77246856689453,21.50705489976113,78.37575661882795,0.033209214853761874,25.39888232263361
88,18.802160778561152,71.41179038382866,0.0483394103074396,19.30564560761323,21.49133506380943,78.31617757676995,0.03312021668887499,25.397442399811887
89,19.122324453817832,66.84998764862885,0.03190047062329344,19.035197232220625,21.435133775075276,77.87368695887902,0.03258530617095024,25.227827497825768
90,19.377402125178158,71.7833484958958,0.0481022204700354,18.597878533440667,21.396359620713806,77.79596237852282,0.032522323264314486,25.24654619239507
